lon,lat,course_id,track_seg_point_id,ele,dis
141.33208,38.45731,2,211,13.9,3.538303568
141.333,38.45753,2,212,9.7,3.622063219
141.33312,38.45755,2,213,9.2,3.632746077
141.33318,38.45756,2,214,8.8,3.638087504
141.33322,38.4575699,2,215,8.7,3.641740268
141.33328,38.4575699,2,216,8.1,3.646964672
141.33335,38.45756,2,217,7.3,3.653158424
141.33342,38.45756,2,218,7.1,3.659253563
141.33348,38.45755,2,219,6.7,3.664594991
141.33353,38.45753,2,220,6.1,3.669483775
141.33364,38.4575,2,221,5.3,3.67962614
141.3341,38.4574,2,222,4.1,3.721194798
141.3343,38.45735,2,223,4.8,3.73947549
141.33443,38.45732,2,224,5.5,3.751276372
141.33495,38.45721,2,225,7.7,3.798177748
141.33497,38.45721,2,226,7.8,3.799919225
141.3351099,38.45717,2,227,8.4,3.812887462
141.33521,38.45714,2,228,8.7,3.822220108
141.33528,38.45713,2,229,9.1,3.828415881
141.33534,38.45711,2,230,9.2,3.834093952
141.3353799,38.45709,2,231,9.1,3.838219017
141.33544,38.45707,2,232,9.2,3.843905103
141.33558,38.457,2,233,8.8,3.858368518
141.33577,38.45691,2,234,7.8,3.877703929
141.3359,38.45684,2,235,7,3.891441462
141.33607,38.45679,2,236,7.1,3.907253764
141.33617,38.45676,2,237,7,3.916578322
141.33627,38.45675,2,238,7.3,3.925356473
141.33641,38.45674,2,239,7.9,3.937597499
141.33664,38.45675,2,240,9.5,3.957655458
141.33678,38.45676,2,241,10,3.969896482
141.33688,38.45678,2,242,10.6,3.978883429
141.33715,38.45681,2,243,11.4,4.002628986
141.33747,38.45686,2,244,12.8,4.031042027
141.33779,38.4569199,2,245,10.6,4.059690801
141.3379,38.45694,2,246,9.5,4.069526272
141.338,38.45696,2,247,8.4,4.078513197
141.33811,38.45702,2,248,7.6,4.090185928
141.3383,38.45714,2,249,5.6,4.111440399
141.33844,38.45723,2,250,5.1,4.127212389
141.33855,38.45732,2,251,5.2,4.141064879
141.33869,38.45747,2,252,5.2,4.161724051
141.33876,38.45755,2,253,6,4.172507492
141.33882,38.45765,2,254,7.4,4.184793168
141.33889,38.4577699,2,255,8.7,4.199452654
141.3391,38.45809,2,256,9.8,4.239468321
141.33919,38.45821,2,257,9.5,4.254942752
141.3392299,38.45826,2,258,9.7,4.261498735
141.33928,38.4583,2,259,9.7,4.267728736
141.33935,38.45835,2,260,9.7,4.275978634
141.3394,38.45839,2,261,9.7,4.282202538
141.33979,38.45861,2,262,7.8,4.324054578
141.33999,38.45872,2,263,6,4.345335333
141.34011,38.45879,2,264,5.9,4.358364505
141.34012,38.45879,2,265,5.9,4.359235225
141.3403,38.4589,2,266,5.9,4.379116109
141.34032,38.45891,2,267,5.9,4.381182273
141.34046,38.45899,2,268,5.7,4.396272966
141.34055,38.45905,2,269,5.6,4.406564787
141.34063,38.4591,2,270,5.5,4.415477263
141.34071,38.45916,2,271,5.4,4.425122621
141.3409,38.4593599,2,272,6.9,4.452831263
141.34096,38.45942,2,273,7.2,4.461313784
141.34104,38.45951,2,274,7.6,4.473506898
141.34114,38.45959,2,275,7.7,4.485954607
141.34119,38.45964,2,276,7.8,4.493016068
141.34124,38.45969,2,277,7.8,4.500077528
141.34137,38.45979,2,278,7.5,4.515944721
141.34146,38.45986,2,279,7.2,4.526989805
141.34159,38.45997,2,280,6.6,4.543655108
141.34173,38.46008,2,281,7,4.560923615
141.34181,38.46015,2,282,7.7,4.571368961
141.34188,38.46019,2,283,8,4.578914224
141.34194,38.46023,2,284,8.3,4.585775373
141.34199,38.46025,2,285,8.3,4.590664011
141.34203,38.46026,2,286,8.2,4.594320017
141.34205,38.46027,2,287,8.2,4.596386154
141.34212,38.46029,2,288,8.1,4.602874117
141.3421899,38.4602999,2,289,7.9,4.609059073
141.34223,38.46031,2,290,7.8,4.612726761
141.34233,38.46031,2,291,7.3,4.621433772
141.34275,38.46029,2,292,5.3,4.658070781
141.34288,38.46026,2,293,4.6,4.66987122
141.34306,38.4602,2,294,3.6,4.68690481
141.34366,38.45998,2,295,2.5,4.744590893
141.34374,38.45995,2,296,2.7,4.75231411
141.34381,38.45991,2,297,3.1,4.75985939
141.34386,38.45987,2,298,3.5,4.76608323
141.34387,38.45987,2,299,3.5,4.766953936
141.34391,38.4598299,2,300,3.9,4.772611857
141.34431,38.45933,2,301,15.7,4.838208101
141.34417,38.45901,2,302,14.6,4.87582067
141.34415,38.45895,2,303,15.1,4.882715903
141.34411,38.45883,2,304,16.2,4.89650637
141.34409,38.4587999,2,305,16.3,4.900279277
141.34405,38.45866,2,306,17.4,4.916220593
141.34404,38.45861,2,307,17.9,4.921848116
141.34402,38.45852,2,308,18.6,4.932006061
141.34401,38.45848,2,309,18.9,4.936538291
141.344,38.45843,2,310,19.3,4.942165815
141.34399,38.45834,2,311,20.3,4.95221118
141.344,38.4583,2,312,20.3,4.956743411
141.34401,38.45821,2,313,19.6,4.966788776
141.34402,38.45813,2,314,19,4.975726896
141.34403,38.45801,2,315,17.9,4.989098685
141.34408,38.4578599,2,316,17.2,5.006347543
141.34417,38.45763,2,317,15.8,5.033085481
141.34422,38.45749,2,318,15,5.049250123
141.34428,38.45727,2,319,13.7,5.074264696
141.34429,38.45725,2,320,13.7,5.076652985
141.34437,38.45698,2,321,11.7,5.107473186
141.3444,38.4569,2,322,11.2,5.116744407
141.34446,38.45673,2,323,9.7,5.136356255
141.34452,38.45656,2,324,9.3,5.155968106
141.34454,38.45649,2,325,9.3,5.163944201
141.34457,38.45641,2,326,9.3,5.173215427
141.34458,38.4563599,2,327,9.2,5.17885394
141.3446,38.45633,2,328,9.2,5.182607161
141.34462,38.45629,2,329,9.2,5.187383747
141.34468,38.45622,2,330,9.2,5.196758217
141.34481,38.4560699,2,331,8.8,5.216925169
141.34489,38.456,2,332,8.5,5.227362495
141.34507,38.45583,2,333,6.6,5.25191836
141.34522,38.4557,2,334,5.3,5.271400558
141.3454,38.45552,2,335,3.8,5.296822356
141.3455899,38.45535,2,336,2.3,5.321937291
141.3459,38.45508,2,337,0.3,5.362316587
141.34611,38.4549,2,338,0.1,5.389427198
141.34617,38.4548599,2,339,0.2,5.396295854
141.34622,38.45483,2,340,0.2,5.401773967
141.34628,38.4548,2,341,0.2,5.407972709
141.34642,38.45474,2,342,0.3,5.421869689
141.34648,38.45471,2,343,0.3,5.428068437
141.34658,38.45468,2,344,0.4,5.437393229
141.34663,38.45467,2,345,0.4,5.441886825
141.34672,38.45465,2,346,0.2,5.45003318
141.3470199,38.45461,2,347,-1,5.476523628
141.34732,38.4545699,2,348,-2.2,5.503033127
141.34749,38.45454,2,349,-2.9,5.518204996
141.34764,38.45449,2,350,-2.7,5.532400606
141.34775,38.45444,2,351,-2.6,5.543475726
141.34781,38.45441,2,352,-2.5,5.549674492
141.34793,38.4543,2,353,-2.2,5.565761628
141.34808,38.45413,2,354,-1.9,5.588738475
141.34829,38.4539,2,355,-1.4,5.620178311
